Designator,Mid X,Mid Y,Rotation,Layer
SW18,171.1325,-126.4975,0.0,top
SW19,190.1825,-126.4975,0.0,top
SW2,123.5075,-107.4475,0.0,top
SW20,209.2325,-126.4975,0.0,top
SW21,228.2825,-126.4975,0.0,top
SW22,247.3325,-126.4975,0.0,top
SW23,266.3825,-126.4975,0.0,top
SW24,285.4325,-126.4975,0.0,top
SW25,304.4825,-126.4975,0.0,top
SW26,323.5325,-126.4975,0.0,top
SW27,342.5825,-126.4975,0.0,top
SW28,366.395,-126.4975,0.0,top
SW29,111.60125,-145.5475,0.0,top
SW3,142.5575,-107.4475,0.0,top
SW30,137.795,-145.5475,0.0,top
SW31,156.845,-145.5475,0.0,top
SW32,175.895,-145.5475,0.0,top
SW33,194.945,-145.5475,0.0,top
SW34,213.995,-145.5475,0.0,top
SW35,233.045,-145.5475,0.0,top
SW36,252.095,-145.5475,0.0,top
SW37,271.145,-145.5475,0.0,top
SW38,290.195,-145.5475,0.0,top
SW39,309.245,-145.5475,0.0,top
SW4,161.6075,-107.4475,0.0,top
SW40,328.295,-145.5475,0.0,top
SW41,359.25125,-148.495,0.0,top
SW42,354.48875,-167.545,0.0,top
SW43,116.36375,-167.545,0.0,top
SW44,147.32,-164.5975,0.0,top
SW45,166.37,-164.5975,0.0,top
SW46,185.42,-164.5975,0.0,top
SW47,204.47,-164.5975,0.0,top
SW48,223.52,-164.5975,0.0,top
SW49,242.57,-164.5975,0.0,top
SW5,180.6575,-107.4475,0.0,top
SW50,261.62,-164.5975,0.0,top
SW51,280.67,-164.5975,0.0,top
SW52,299.72,-164.5975,0.0,top
SW53,318.77,-164.5975,0.0,top
SW54,106.83875,-183.6475,0.0,top
SW55,130.65125,-183.6475,0.0,top
SW56,154.46375,-183.6475,0.0,top
SW57,225.90125,-186.595,0.0,top
SW58,297.34175,-183.6475,0.0,top
SW59,321.15425,-183.6475,0.0,top
SW6,199.7075,-107.4475,0.0,top
SW60,344.96675,-183.6475,0.0,top
SW61,368.77925,-183.6475,0.0,top
SW62,435.76875,-183.6475,0.0,top
SW63,395.39375,-109.5375,180.0,top
SW7,218.7575,-107.4475,0.0,top
SW8,237.8075,-107.4475,0.0,top
SW85,418.99375,-109.5375,180.0,top
SW9,256.8575,-107.4475,0.0,top
U1,425.4125,-157.1625,90.0,top
